"MONTH_ID","PROV_ID","USER_ID","SERVICE_TYPE","STDEV_CDR_NUM","VAR_CDR_NUM","STDEV_CALLING_CDR_NUM","VAR_CALLING_CDR_NUM","STDEV_CALL_DURATION","VAR_CALL_DURATION","STDEV_CALLING_DURATION","VAR_CALLING_DURATION","STDEV_MOBILE_TIME","VAR_MOBILE_TIME","STDEV_CALLING_MOBILE_TIME","VAR_CALLING_MOBILE_TIME","CALL_DAYS","CALLING_DAYS","CALLED_DAYS","LAST_CALL_TIME","LAST_CALLING_TIME","CALL_DURA_LAST7","CALL_DURA_FIRST20","CALL_DURA_FIRST7","CALL_DURA_LAST20","CALL_RING","CALLING_RING","CALLED_RING","UNICOM_MOBILE_RING","OTHER_MOBILE_RING","UNICOM_FX_RING","OTHER_FX_RING","VALID_CALL_RING","VALID_UNICOM_MOBILE_RING","VALID_OTHER_MOBILE_RING","VALID_UNICOM_FX_RING","VALID_OTHER_FX_RING","CELLID_NUM","CALLING_CELLID_NUM","CALLED_CELLID_NUM","BUSY_CALL_RING","BUSY_CELLID_NUM","BUSY_CALL_DURA","BUSY_CDR_NUM","BUSY_MOBILE_TIME","EASY_CALL_RING","EASY_CELLID_NUM","EASY_CALL_DURA","EASY_CDR_NUM","EASY_MOBILE_TIME","BUSY_CALLING_RING","BUSY_CALLING_CELLID_NUM","BUSY_CALLING_DURA","BUSY_CALLING_CDR_NUM","BUSY_CALLING_MOBILE_TIME","EASY_CALLING_RING","EASY_CALLING_CELLID_NUM","EASY_CALLING_DURA","EASY_CALLING_CDR_NUM","EASY_CALLING_MOBILE_TIME","CALLING_MOBILE_PHONE_CDR","CALLING_TELE_PHONE_CDR","CALLING_UNICOM_PHONE_CDR","CALLING_FX_CDR","CALLING_MOBILE_PHONE_DURA","CALLING_TELE_PHONE_DURA","CALLING_UNICOM_PHONE_DURA","CALLING_FX_DURA","CALLED_MOBILE_PHONE_CDR","CALLED_TELE_PHONE_CDR","CALLED_UNICOM_PHONE_CDR","CALLED_FX_CDR","CALLED_MOBILE_PHONE_DURA","CALLED_TELE_PHONE_DURA","CALLED_UNICOM_PHONE_DURA","CALLED_FX_DURA","LOCAL_CALLING_MOBILE_CDR","LOCAL_CALLING_TELE_CDR","LOCAL_CALLING_UNICOM_CDR","LOCAL_CALLING_FX_CDR","LOCAL_CALLING_MOBILE_DURA","LOCAL_CALLING_TELE_DURA","LOCAL_CALLING_UNICOM_DURA","LOCAL_CALLING_FX_DURA"
"201508","079","1038060","30AAAAAA","7.701642","0.372466","4.157913","0.700772","728.220932","0.4481","533.153173","0.894402","14.975665","0.391108","10.221888","0.782287","31","30","31","20150831185333","20150831173650","14140","36239","9526","42219","160","85","125","20","124","0","5","12","3","9","0","0","167","71","132","138","125","35902","467","849","70","66","14477","174","338","67","52","12800","127","277","34","27","5083","51","115","102","42","27","3","11845","2700","2002","771","225","106","106","9","17378","6966","6711","493","57","36","16","1","3884","2127","477","348"
"201508","079","1069612","30AAAAAA","11.021028","0.417667","7.632424","0.511026","1958.824107","0.645048","1618.815606","0.832738","35.323155","0.550814","28.972447","0.726655","31","31","31","20150831230544","20150831230544","35514","58624","14931","82137","86","76","61","10","71","0","7","23","2","20","0","3","104","73","78","73","98","63661","563","1350","54","44","30477","255","638","63","66","40699","317","839","44","32","19564","146","397","316","104","34","19","40877","9820","7826","3703","255","54","43","16","26634","3852","3046","2753","256","99","28","13","33571","9424","6930","2218"
"201508","079","200059933","30AAAAAA","3.573518","0.394232","2.327057","0.459483","468.196313","0.472818","367.364971","0.595935","9.132964","0.425108","6.743865","0.516197","31","31","29","20150831190937","20150831190937","6522","24175","9114","22339","39","26","31","12","22","0","6","7","5","2","0","0","16","14","11","31","14","23549","181","493","21","9","7148","100","173","21","11","16013","109","327","13","8","3097","48","78","29","6","121","2","2926","1676","14457","378","49","3","67","5","4149","287","6602","549","25","0","93","1","1191","0","4590","51"
"201508","079","200063654","30AAAAAA","7.41711","0.521384","4.948013","0.600973","717.223672","0.770834","628.719712","1.071803","14.820185","0.635444","12.499657","0.872069","31","30","30","20150831204631","20150831204631","4391","24453","10516","18465","84","65","54","14","65","0","2","19","5","13","0","0","33","25","26","65","29","16608","271","421","49","17","12236","170","302","48","21","9844","147","241","37","14","7754","100","189","158","26","50","0","13273","1337","2692","0","114","21","54","2","5978","1930","3130","34","125","21","47","0","4873","909","2543","0"
"201508","079","1112281","30AAAAAA","8.844795","0.699746","4.236225","0.594975","890.216962","0.5965","851.64733","0.76097","17.15128","0.545524","14.705863","0.661235","25","25","23","20150831181437","20150831142303","11190","26120","531","36779","28","19","18","3","22","0","0","8","0","8","0","0","16","12","13","20","12","24275","208","509","18","12","13035","108","277","13","9","18298","122","362","13","9","9681","56","194","87","88","2","0","23300","3941","731","0","35","100","1","0","3588","5493","8","0","19","86","2","0","4171","3877","731","0"
"201508","079","1042206","30AAAAAA","4.952637","0.389675","3.459894","0.520664","1606.485427","0.941757","1377.625247","1.392902","27.67757","0.787883","23.747808","1.181673","31","31","31","20150831185453","20150831132627","10436","42445","10393","43916","64","47","51","20","42","0","3","13","7","6","0","0","47","38","31","47","35","27095","217","569","48","29","25786","177","520","30","25","14800","113","311","37","24","15860","93","312","101","3","101","3","7291","116","23187","110","87","7","93","1","6019","373","15746","83","88","3","47","3","3772","116","2314","110"
"201508","079","1141455","30AAAAAA","16.337937","0.597965","9.283151","0.70707","989.283974","0.639419","441.125653","0.654834","24.614573","0.602727","11.806716","0.64212","31","31","31","20150831223646","20150831214141","9124","38838","13788","35146","124","87","100","19","97","0","9","26","4","22","0","2","23","18","17","106","17","27630","559","774","68","15","20332","288","492","73","15","10666","247","318","47","10","10217","160","252","256","82","68","52","11806","7052","1993","4964","307","65","61","37","18127","6338","2454","3336","144","59","62","51","5053","5612","1752","4932"
"201508","079","1059802","30AAAAAA","3.766048","0.557221","2.233674","0.670102","425.024014","0.997628","157.338876","0.845908","8.659362","0.812691","3.450344","0.71661","29","27","29","20150831212812","20150831191045","3556","8799","1722","11315","37","23","31","7","27","0","2","8","1","7","0","0","46","32","31","34","40","8998","143","224","20","17","3357","53","85","21","28","4063","68","103","11","12","959","22","27","74","1","15","0","4027","15","980","0","82","1","19","2","3930","40","3228","34","68","1","13","0","3393","15","557","0"
"201508","079","1071600","30AAAAAA","9.604673","0.549345","6.413435","0.643489","1529.558401","0.762394","1085.482551","0.930626","29.966405","0.703756","20.848295","0.846345","31","30","31","20150831211501","20150831211501","17607","44587","12409","51365","69","55","45","8","53","0","6","24","3","20","0","0","133","87","74","62","100","38603","379","839","37","55","23591","163","481","48","64","23070","214","493","29","32","11922","85","246","226","33","29","3","26060","6124","1926","652","166","19","23","16","15980","2337","3567","4939","166","22","7","0","18766","2850","347","0"
"201508","079","1081386","30AAAAAA","16.352707","0.641689","9.306326","0.655673","1369.797729","0.788014","878.073363","0.922815","30.899926","0.718064","19.156728","0.807971","31","31","31","20150831210017","20150831210017","18548","35339","9162","45177","74","62","51","3","70","0","1","19","1","18","0","0","68","44","50","69","50","39259","574","975","41","42","14628","216","359","58","32","22415","329","557","28","31","7082","111","178","398","27","15","0","26099","2513","885","0","325","11","13","1","22752","810","809","19","179","2","15","0","13281","382","885","0"
