"MONTH_ID","PROV_ID","AREA_ID","CITY_ID","COMP_ID","COMP_TYPE","USER_ID","SERVICE_TYPE","PRODUCT_ID","PRODUCT_CLASS","PAY_MODE","BRAND_ID","USER_TYPE","USER_STATUS","CUST_CATEGORY","CITY_TYPE","BROAD_RAPID","BILL_RAPID","BILL_MODE","DEV_MAN_ID","CHANNEL_ID","OPER_CHANNEL_ID","CHANNEL_TYPE","ZB_DEV_CHANNEL_ID","ZB_DEV_MAN_ID","ZB_ACCP_CHANNEL_ID","INNET_DATE","OPER_DATE","CREATE_DATE","CLOSE_DATE","LAST_STOP_DATE","INNET_MONTH","EFFECT_DATE","EXPIRE_DATE","IS_VALID","IS_COMP_VALID","ACTIVITY_TYPE","DEPOSIT_TYPE","PKG_PROD_CLASS","IS_INNET","IS_ADD","IS_THIS_DEV","IS_CHANGE_PRODUCT","IS_THIS_QUIT","IS_THIS_BREAK","IS_CARD","IS_ACCT","IS_STOP","IS_PAUL_NO","IS_OWE_STOP","IS_STAT","COMP_CATEGORY"
"201508","079","V0542300","","201595506","62","200057693","30AAAAAA","99003577","99003577","02","05","01","11","","","","","","B12030","2002","2002","1010300","79b00xw","7902160602","","20090529","29-5月 -09","","01-1月 -37","","76","20140306","20370101","1","1","03","02","0201","1","0","0","0","0","0","0","1","0","0","0","1","050299"
"201508","079","V0542300","","200891103","61","200067196","200101AA","8000163","010299","02","02","01","11","","","","","","A13912","B10029","B10029","2010100","79a0273","7901609010","","20090630","30-6月 -09","","01-1月 -37","","75","20120417","20370101","1","1","","","","1","0","0","0","0","0","0","1","0","0","0","1","050199"
"201509","079","V0542300","","200891103","61","200067196","200101AA","8000163","010299","02","02","01","11","","","","","","A13912","B10029","B10029","2010100","79a0273","7901609010","","20090630","30-6月 -09","","01-1月 -37","","76","20120417","20370101","1","1","","","","1","0","0","0","0","0","0","1","0","0","0","1","050199"
"201509","079","V0542300","","201595506","62","200057693","30AAAAAA","99003577","99003577","02","05","01","11","","","","","","B12030","2002","2002","1010300","79b00xw","7902160602","","20090529","29-5月 -09","","01-1月 -37","","77","20140306","20370101","1","1","03","02","0201","1","0","0","0","0","0","0","1","0","0","0","1","050299"
"201510","079","V0542300","","201595506","62","200057693","30AAAAAA","99003577","99003577","02","05","01","11","","","","","","B12030","2002","2002","1010300","79b00xw","7902160602","","20090529","29-5月 -09","","01-1月 -37","","78","20140306","20370101","1","1","","","0201","1","0","0","0","0","0","0","1","0","0","0","1","050299"
"201510","079","V0542300","","200891103","61","200067196","200101AA","8000163","010299","02","02","01","11","","","","","","A13912","B10029","B10029","2010100","79a0273","7901609010","","20090630","30-6月 -09","","01-1月 -37","","77","20120417","20370101","1","1","","","","1","0","0","0","0","0","0","1","0","0","0","1","050199"
"201511","079","V0542300","","200891103","61","200067196","200101AA","8000163","010299","02","02","01","11","","","","","","A13912","B10029","B10029","2010100","79a0273","7901609010","","20090630","30-6月 -09","","01-1月 -37","","78","20120417","20370101","1","1","","","","1","0","0","0","0","0","0","1","0","0","0","1","050199"
"201511","079","V0542300","","201595506","62","200057693","30AAAAAA","99003577","99003577","02","05","01","11","","","","","","B12030","2002","2002","1010300","79b00xw","7902160602","","20090529","29-5月 -09","","01-1月 -37","","79","20140306","20370101","1","1","","","0201","1","0","0","0","0","0","0","1","0","0","0","1","050299"
"201512","079","V0542300","","200891103","61","200067196","200101AA","8000163","010299","02","02","01","11","","","","","","A13912","B10029","B10029","2010100","79a0273","7901609010","","20090630","30-6月 -09","","01-1月 -37","","79","20120417","20370101","1","1","","","","1","0","0","0","0","0","0","1","0","0","0","1","050199"
"201512","079","V0542300","","201595506","62","200057693","30AAAAAA","99003577","99003577","02","05","01","11","","","","","","B12030","2002","2002","1010300","79b00xw","7902160602","","20090529","29-5月 -09","","01-1月 -37","","80","20140306","20370101","1","1","","","","1","0","0","0","0","0","0","1","0","0","0","1","050299"
"201601","079","V0542300","","201595506","62","200057693","30AAAAAA","99003577","99003577","02","05","01","11","","","","","","B12030","2002","2002","1010300","79b00xw","7902160602","","20090529","29-5月 -09","","01-1月 -37","","81","20140306","20370101","1","1","03","02","","1","0","0","0","0","0","0","1","0","0","0","1","050299"
"201601","079","V0542300","","200891103","61","200067196","200101AA","8000163","010299","02","02","01","11","","","","","","A13912","B10029","B10029","2010100","79a0273","7901609010","","20090630","30-6月 -09","","01-1月 -37","","80","20120417","20370101","1","1","","","","1","0","0","0","0","0","0","1","0","0","0","1","050199"
"201602","079","V0542300","","201595506","62","200057693","30AAAAAA","99003577","99003577","02","05","01","11","","","","","","B12030","2002","2002","1010300","79b00xw","7902160602","","20090529","29-5月 -09","","01-1月 -37","","82","20140306","20370101","1","1","03","02","","1","0","0","0","0","0","0","1","0","0","0","1","050299"
"201602","079","V0542300","","200891103","61","200067196","200101AA","8000163","010299","02","02","01","11","","","","","","A13912","B10029","B10029","2010100","79a0273","7901609010","","20090630","30-6月 -09","","01-1月 -37","","81","20120417","20370101","1","1","","","","1","0","0","0","0","0","0","1","0","0","0","1","050199"
"201603","079","V0542300","","200891103","61","200067196","200101AA","8000163","010299","02","02","01","11","","","","","","A13912","B10029","B10029","2010100","79a0273","7901609010","","20090630","30-6月 -09","","01-1月 -37","","82","20120417","20370101","1","1","","","","1","0","0","0","0","0","0","1","0","0","0","1","050199"
"201603","079","V0542300","","201595506","62","200057693","30AAAAAA","99003577","99003577","02","05","01","11","","","","","","B12292","2002","2002","1010300","79b00xw","7902160701","","20090529","29-5月 -09","","01-1月 -37","","83","20140306","20370101","1","1","03","02","","1","0","0","0","0","0","0","1","0","0","0","1","050299"
"201604","079","V0542300","","200891103","61","200067196","200101AA","8000163","010299","02","02","01","11","","","","","","A13912","B10029","B10029","2010100","79a0273","7901609010","","20090630","30-6月 -09","","01-1月 -37","","83","20120417","20370101","1","1","","","","1","0","0","0","0","0","0","1","0","0","0","1","050199"
"201604","079","V0542300","","201595506","62","200057693","30AAAAAA","99003577","99003577","02","05","01","11","","","","","","B12292","2002","2002","1010300","79b00xw","7902160701","","20090529","29-5月 -09","","01-1月 -37","","84","20140306","20370101","1","1","03","02","","1","0","0","0","0","0","0","1","0","0","0","1","050299"
"201605","079","V0542300","","201595506","62","200057693","30AAAAAA","99003577","99003577","02","05","01","11","","","","","","B12292","2002","2002","1010300","79b00xw","7902160701","","20090529","29-5月 -09","","01-1月 -37","","85","20140306","20370101","1","1","03","02","","1","0","0","0","0","0","0","1","0","0","0","1","050299"
"201605","079","V0542300","","200891103","61","200067196","200101AA","8000163","010299","02","02","01","11","","","","","","A13912","B10029","B10029","2010100","79a0273","7901609010","","20090630","30-6月 -09","","01-1月 -37","","84","20120417","20370101","1","1","","","","1","0","0","0","0","0","0","1","0","0","0","1","050199"
"201606","079","V0542300","","200891103","61","200067196","30AAAAAA","8000163","010299","02","05","01","11","","","","","","A13912","B10029","B10029","2010100","79a0273","7901609010","","20090630","30-6月 -09","","01-1月 -37","","85","20120417","20370101","1","1","","","0101","1","0","0","0","0","0","2","1","0","0","0","1","050199"
"201606","079","V0542300","","201595506","62","200057693","30AAAAAA","99003577","99003577","02","05","01","11","","","","","","B12292","2002","2002","1010300","79b00xw","7902160701","","20090529","29-5月 -09","","01-1月 -37","","86","20140306","20370101","1","1","03","02","","1","0","0","0","0","0","0","1","0","0","0","1","050299"
"201607","079","V0542300","","200891103","61","200067196","30AAAAAA","8000163","010299","02","05","01","11","","","","","","A13912","B10029","B10029","2010100","79a0273","7901609010","","20090630","30-6月 -09","","01-1月 -37","","86","20130611","20370101","1","1","","","0101","1","0","0","0","0","0","2","1","0","0","0","1","050199"
"201607","079","V0542300","","201595506","62","200057693","30AAAAAA","99003577","99003577","02","05","01","11","","","","","","B12292","2002","2002","1010300","79b00xw","7902160701","","20090529","29-5月 -09","","01-1月 -37","","87","20140428","20370101","1","1","03","02","","1","0","0","0","0","0","0","1","0","0","0","1","050299"
"201608","079","V0542300","","201595506","62","200057693","30AAAAAA","99003577","99003577","02","05","01","11","","","","","","B12292","2002","2002","1010300","79b00xw","7902160701","","20090529","29-5月 -09","","01-1月 -37","","88","20140428","20370101","1","1","03","02","","1","0","0","0","0","0","0","1","0","0","0","1","050299"
