"MONTH_ID","PROV_ID","AREA_ID","SERVICE_TYPE","USER_ID","ONEIN3MON_TERM_TYPE","ONEIN3MON_IS_SMART","ONEIN3MON_IS_IPHONE","LASTIN3MON_IPHONE_VERSION","ONEIN3MON_OTHER_DET","ONEIN1MON_TERM_TYPE","ONEIN1MON_IS_SMART","ONEIN1MON_IS_IPHONE","LASTIN1MON_IPHONE_VERSION","ONEIN1MON_OTHER_DET","FLUXMOST1MON_IMEI","FLUXMOST1MON_MANU_ID","FLUXMOST1MON_MODEL_ID","FLUXMOST1MON_TERM_TYPE","FLUXMOST1MON_IS_SMART","FLUXMOST1MON_OTHER_DET","FLUXMOST1MON_OS_TYPE","USEMOST1MON_IMEI","USEMOST1MON_MANU_ID","USEMOST1MON_MODEL_ID","USEMOST1MON_TERM_TYPE","USEMOST1MON_IS_SMART","USEMOST1MON_OTHER_DET","USEMOST1MON_OS_TYPE","TM_LAST_IMEI","TM_LAST_MANU_ID","TM_LAST_MODEL_ID","TM_LAST_TERM_TYPE","TM_LAST_IS_SMART","TM_LAST_OTHER_DET","TM_LAST_OS_TYPE","USEMOST3MON_IMEI","USEMOST3MON_MANU_ID","USEMOST3MON_MODEL_ID","USEMOST3MON_TERM_TYPE","USEMOST3MON_IS_SMART","USEMOST3MON_OTHER_DET","USEMOST3MON_OS_TYPE","IS_RECOGNIZABLE_TERM","ONEIN1MON_TERM_TYPE_4G","ONEIN3MON_IMEI_4G","ONEIN3MON_IMEI_3G","ONEIN1MON_IMEI_4G","ONEIN1MON_IMEI_3G","ONEIN3MON_IMEI_2G","ONEIN1MON_IMEI_2G"
"201508","079","V0540100","30AAAAAA","1188954","4G","1","0","","","3G","1","0","","","","","","00","0","2","","86013302013006","1921","86035","3G","1","","Android 4.0","86626102107890","242","97096","4G","1","","Android","","","","00","0","2","","1","4G","86626102107890","86013302013006","86626102107890","86013302013006","13579024681122","13579024681122"
"201508","079","V0540100","30AAAAAA","1189874","3G","1","1","iPhone 4","","3G","1","1","iPhone 4","","","","","00","0","2","","01274600203792","264","11385","3G","1","","iOS","01274600203792","264","11385","3G","1","","iOS","","","","00","0","2","","1","3G","","01274600203792","","01274600203792","",""
"201508","079","V0540100","30AAAAAA","1190225","3G","1","0","","","3G","1","0","","","35818005906992","185","81138","3G","1","","Android 4.2","35818005906992","185","81138","3G","1","","Android 4.2","35818005906992","185","81138","3G","1","","Android 4.2","35818005906992","185","81138","3G","1","","Android 4.2","1","3G","","35818005906992","","35818005906992","",""
"201508","079","V0540100","30AAAAAA","1190232","3G","1","0","","","3G","1","0","","","","","","00","0","2","","86081302135145","164","81758","3G","1","","Android 4.1","86081302135145","164","81758","3G","1","","Android 4.1","","","","00","0","2","","1","3G","","86081302135145","","86081302135145","",""
"201508","079","V0540100","30AAAAAA","1190269","3G","1","1","iPhone 4","","3G","1","1","iPhone 4","","01254800256814","264","11385","3G","1","","iOS","01254800256814","264","11385","3G","1","","iOS","01254800256814","264","11385","3G","1","","iOS","01254800256814","264","11385","3G","1","","iOS","1","3G","","01254800256814","","01254800256814","",""
"201508","079","V0540100","30AAAAAA","1190420","4G","1","0","","","3G","1","0","","","35477806191661","185","92105","4G","1","","Android 4.4","35477806191661","185","92105","4G","1","","Android 4.4","35477806191661","185","92105","4G","1","","Android 4.4","35477806191661","185","92105","4G","1","","Android 4.4","1","4G","35477806191661","","35477806191661","","",""
"201508","079","V0540100","30AAAAAA","1190431","3G","1","0","","","3G","1","0","","","86706401515523","1654","74817","3G","1","","Android 4.1(MIUI V4)","86706401515523","1654","74817","3G","1","","Android 4.1(MIUI V4)","86706401515523","1654","74817","3G","1","","Android 4.1(MIUI V4)","86706401515523","1654","74817","3G","1","","Android 4.1(MIUI V4)","1","3G","","86706401515523","","86706401515523","",""
"201508","079","V0540100","200101AA","1186956","3G","1","1","iPhone 4S","","3G","1","1","iPhone 4S","","","","","00","0","2","","01360800305034","264","66060","3G","1","","iOS","01360800305034","264","66060","3G","1","","iOS","","","","00","0","2","","1","3G","","86065202090495","","01360800305034","",""
"201508","079","V0540100","30AAAAAA","1187486","3G","1","0","","","3G","1","0","","","","","","00","0","2","","","","","00","0","2","","86354001044274","1544","86372","3G","1","","Android 2.3","","","","00","0","2","","1","3G","","86354001044274","","86354001044274","",""
"201508","079","V0540100","30AAAAAA","1058822","3G","1","0","","","3G","1","0","","","35638005294833","86","81194","3G","1","","Android 4.1","35638005294833","86","81194","3G","1","","Android 4.1","35638005294833","86","81194","3G","1","","Android 4.1","35638005294833","86","81194","3G","1","","Android 4.1","1","3G","","35638005294833","","35638005294833","",""
