"MONTH_ID","MANU_ID","MANU_NAME","MANU_ALIAS","MODEL_ID","MODEL_NAME","TAC","MODEL_PARAM_ID","MODEL_PARAM_NAME","SW_VERSION","OS_TYPE","IS_SMART","OS","VERSION","SUPPORTJ2ME","ISMOBILEEMAIL","MMS","ISWAP","ISGPRS","ISDM","ISAGPS","ISSUPL","ISGPS","ISDRM","ISHSDPA","ISHSUPA","MAINSCREENHEIGHT","MAINSCREENWIDTH","WAPBROWSERVERSION","INTERNETBROWSER","ISSUPPORTED","FILETYPES","DIGITALMUSICPLAYER","DIGITALMUSICFORMAT","ISSTREAMINGTV","IS_3G","ITEM_VALUE","LATESTRETAILPRICE","SCREENSIZE","CPUTYPE","LAUNCHDATE","ISWIFI","NET_TYPE","ISHSPA","TYPE_3G","BANDCLASS","IS_NFC","IS_BLUETOOTH","BAND_FREQUENCY","NETWORK_TYPE","UNICOM_4G","UNICOM_3G","UNICOM_2G","U_MIZE","T_MIZE","M_MIZE","ALL_MIZE","MIIT4G","MIIT3G","MIIT2G","NEW_TYPE","CREATE_TIME","UPDATE_TIME","IS_DUAL","IS_PJ","IS_UP","IS_SPECIAL","TAC_SOURCE","IS_SMART_NEW","IS_EDGE","SIM_TYPE","MAX_VIDEO_RESOLUTION","MAIN_CAMERA_PIXEL","AUX_CAMERA_PIXEL"
"201508","185","Samsung","三星","925","SGH-C128","35509101","15519","Samsung_C128_DEFAULT","DEFAULT","0","0","0","-1","0","0","0","0","1","-1","0","-1","0","-1","0","0","128","128","0","0","0","-1","0","0","0","0","100000","580","-1","-1","200509","0","0","0","-1","bc","0","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"201508","128","Lenovo","联想","1734","V508","35355800","15544","Lenovo_V508_DEFAULT","DEFAULT","0","0","0","-1","0","1","1","1","1","-1","0","-1","0","-1","0","0","160","128","-1","-1","-1","-1","-1","-1","-1","0","100000","799","-1","-1","20040419","0","0","0","-1","bc","0","-1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"201508","161","Nokia","诺基亚","608","5000","35800303","16716","Nokia_5000_DEFAULT","DEFAULT","99","0","S40","-1","1","0","1","1","1","1","0","-1","0","1","0","0","240","320","2.0","-1","1","image/jpeg","application/vnd.oma.drm.rights+wbxml","text/vnd.wap.si","audio/3gpp","application/vnd.syncml+wbxml","application/vnd.oma.dd+xml","application/vnd.wap.wmlc","application/java-archive","text/vnd.wa","1","MP3","AAC","AAC+","AMR","WMA","WAV","0","0","100000","1150","2.0","-1","200804","0","0","0","-1","ad","0","1","","","","","","","","","","","","",""
"201508","150","Motorola","摩托罗拉","38","L7","35982500","16596","Motorola_L7_DEFAULT","DEFAULT","99","0","Private","-1","1","1","1","1","1","-1","0","-1","0","1","0","0","220","176","2.0","-1","1","video/rtsp","audio/mpg","audio/bas","application/vnd.oma.drm.rights+wbxml","image/jpeg","audio/x-ms-wma","video/vnd.rn-realvideo","video/x-ms-asf","audio/3gpp","application/vnd.oma.dd+xml","application/vnd.wap.","1","MP3","AAC","AAC+","1","0","100000","999","-1","-1","200511","-1","0","0","-1","abcd","0","1","","","","","","","","","","","","","",""
"201508","0","EMULATIONAL","EMULATIONAL","0","EMULATIONAL","21324354","136683","0","DEFAULT","0","0","0","-1","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","110000","-1","-1","-1","-1","-1","1","0","4","abcd","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"201508","161","Nokia","诺基亚","546","2610","35275101","19127","Nokia_2610_DEFAULT","DEFAULT","99","0","S40","-1","1","0","1","1","1","-1","0","-1","0","1","0","0","128","128","2.0","XHTML","0","image/jpeg","application/vnd.oma.drm.rights+wbxml","text/vnd.wap.si","application/vnd.oma.dd+xml","application/vnd.wap.wmlc","application/java-archive","text/vnd.wap.wml","application/vnd.oma.drm.rights+xml","|1","AMR-NB","MIDI Tones (poly 24)","MP3","1","0","100000","499","1.5","-1","200605","0","0","0","-1","bc","0","0","","","","","","","","","","","","","","","","",""
"201508","0","EMULATIONAL","EMULATIONAL","0","EMULATIONAL","35511126","136683","0","DEFAULT","0","0","0","-1","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","110000","-1","-1","-1","-1","-1","1","0","4","abcd","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"201508","150","Motorola","摩托罗拉","79","RAZR V3","35830201","16495","Motorola_V3_DEFAULT","DEFAULT","99","0","VRTXmc","-1","1","1","1","1","1","-1","0","-1","0","1","0","0","220","176","-1","-1","1","audio/mpg","audio/bas","image/jpeg","audio/3gpp","application/vnd.oma.dd+xml","application/vnd.wap.mms-message","application/octet-stream","application/vnd.phonecom.mmc-xml","text/wml","application/vnd.wap.wml","1","MP3","-1","1","110100","2200","-1","-1","200410","-1","1","0","5","bcde","0","1","","","","","","","","","","","","","","","","",""
"201508","185","Samsung","三星","4338","SGH-Z500","35893006","18968","Samsung_SGH-Z500_DEFAULT","DEFAULT","0","0","0","-1","1","1","1","1","1","0","0","0","0","0","0","0","220","176","-1","-1","1","audio/mpg","application/vnd.oma.drm.rights+wbxml","image/jpeg","video/vnd.rn-realvideo","audio/3gpp","application/vnd.oma.dd+xml","text/vnd.wap.connectivity-xml","application/vnd.wap.wmlc","application/vnd.om","1","MP3","1","1","110000","-1","-1","-1","20050330","0","1","0","4","bcde","0","1","","","","","","","","","","","","","","","","","",""
"201508","150","Motorola","摩托罗拉","79","RAZR V3","35768300","16495","Motorola_V3_DEFAULT","DEFAULT","99","0","VRTXmc","-1","1","1","1","1","1","-1","0","-1","0","1","0","0","220","176","-1","-1","1","audio/mpg","audio/bas","image/jpeg","audio/3gpp","application/vnd.oma.dd+xml","application/vnd.wap.mms-message","application/octet-stream","application/vnd.phonecom.mmc-xml","text/wml","application/vnd.wap.wml","1","MP3","-1","1","110100","2200","-1","-1","200410","-1","1","0","5","bcde","0","1","","","","","","","","","","","","","","","","",""
