"TAC","MODEL_ID","MANU_ID","MODEL_NAME","MANU_NAME"
"35938203","M133554","C10385","GT-S3600I","三星                                      "
"86676102","M109384","C10786","DOOV T21","朵唯                                       "
"35908305","M133421","C10385","GT-I9235","三星                                       "
"35871000","M122204","C10149","CHANGHONGM818","长虹                                  "
"35576205","M119563","C10320","C6603-XPERIAZ","索尼                                  "
"35699603","M130924","C10732","GD310","LG                                            "
"35902604","M111204","C10529","5233","诺基亚                                         "
"86766402","M109477","C10235","OPPO R7","欧珀                                        "
"35491007","M109498","C10385","SM-A8000","三星                                       "
"35982500","M148826","C10703","MQ4-4411F11","摩托罗拉                                "
"86917800","M150842","C10736","N788","亿科泰达                                       "
"35440205","M102533","C10385","GT-I9260","三星                                       "
"35299305","M102535","C10385","GT-I9300","三星                                       "
"35751305","M102546","C10385","GT-N7100","三星                                       "
"35376905","M102546","C10385","GT-N7100","三星                                       "
"35698605","M102567","C10385","GT-S6818","三星                                       "
"01347800","M100136","C10135","A1429","苹果                                          "
"01346800","M100136","C10135","A1429","苹果                                          "
"35926906","M100144","C10135","A1530","苹果                                          "
"35698106","M100148","C10135","A1586","苹果                                          "
"35928306","M100148","C10135","A1586","苹果                                          "
"86603002","M103859","C10741","K-TOUCH TOU CH 2","天语                               "
"35925406","M100148","C10135","A1586","苹果                                          "
"35837506","M100148","C10135","A1586","苹果                                          "
"35209007","M100148","C10135","A1586","苹果                                          "
"35638005","M103130","C10336","HTC 606W","宏达                                       "
"35514605","M103157","C10336","HTC C620T","宏达                                      "
"35928904","M105294","C10529","NOKIA 800","诺基亚                                    "
"86887801","M108850","C10129","VIVO X1","维沃                                        "
"35282406","M103194","C10336","HTC M8SW","宏达                                       "
"35423405","M103205","C10336","HTC S720E","宏达                                      "
"86665702","M103237","C10150","HUAWEI ALE-UL00","华为                                "
"86045202","M103295","C10150","HUAWEI G700-U00","华为                                "
"86237202","M103296","C10150","HUAWEI G716-L070","华为                               "
"86418202","M105406","C10235","OPPO R8007","欧珀                                     "
"86567502","M105434","C10235","OPPO R831S","欧珀                                     "
"86444602","M105450","C10235","OPPO X9077","欧珀                                     "
"86978301","M105461","C10627","OPSSON IVO 6600","博力信                              "
"86781401","M109054","C10305","金立 GN800","金立                                     "
"86064602","M101287","C10333","COOLPAD 7295+","酷派                                  "
"86822102","M103320","C10150","HUAWEI MT7-CL00","华为                                "
"86516602","M103321","C10150","HUAWEI MT7-TL00","华为                                "
"86487402","M103326","C10150","HUAWEI P6-C00","华为                                  "
"86102200","M103327","C10150","HUAWEI P6-T00","华为                                  "
"35907905","M106088","C10385","SCH-W2013","三星                                      "
"35988206","M106159","C10385","SM-A7000","三星                                       "
"86013302","M109212","C10533","美富通 F1","美富通                                    "
"35876505","M100139","C10135","A1518","苹果                                          "
"35699806","M100140","C10135","A1524","苹果                                          "
"35699606","M100140","C10135","A1524","苹果                                          "
"35924106","M100140","C10135","A1524","苹果                                          "
"35835206","M100140","C10135","A1524","苹果                                          "
"35444206","M100140","C10135","A1524","苹果                                          "
"35443906","M100140","C10135","A1524","苹果                                          "
"35437906","M100140","C10135","A1524","苹果                                          "
"35877805","M100142","C10135","A1528","苹果                                          "
"35876705","M100142","C10135","A1528","苹果                                          "
"35869905","M100142","C10135","A1528","苹果                                          "
"35675106","M102536","C10385","GT-I9300I","三星                                      "
"35750405","M102539","C10385","GT-I9500","三星                                       "
"35800303","M111061","C10529","5000,5000D-2","诺基亚                                 "
"86723802","M109395","C10388","F977","福中福                                         "
"86694602","M109482","C10150","PLK-AL10","华为                                       "
"35395207","M109498","C10385","SM-A8000","三星                                       "
"35232407","M109498","C10385","SM-A8000","三星                                       "
"35638903","M114628","C10564","ALCATELOT-808","TCL                                   "
"35586306","M123035","C11424","D500,T999,T888,E1203","ZHT                            "
"35265207","M102498","C10385","GT-E1200R","三星                                      "
"86282202","M107686","C10497","XD-Z5","心迪宝                                        "
"35842505","M102519","C10385","GT-I9118","三星                                       "
"35471005","M102520","C10385","GT-I9128","三星                                       "
"35311505","M154412","C10336","PK76100","宏达                                        "
"01305700","M177920","C10135","IPHONE4S(A1387)","苹果                                "
"01304500","M177920","C10135","IPHONE4S(A1387)","苹果                                "
"01300700","M177920","C10135","IPHONE4S(A1387)","苹果                                "
"35587706","M177931","C10135","IPHONE6PLUS(A1522)","苹果                             "
"86804602","M179840","C10038","M578","魅族                                           "
"01253500","MC00045","C10135","A1332","苹果                                          "
"01284400","MC00045","C10135","A1332","苹果                                          "
"01254600","MC00045","C10135","A1332","苹果                                          "
"01265300","MC00045","C10135","A1332","苹果                                          "
"01276000","MC00045","C10135","A1332","苹果                                          "
"01360200","MC00046","C10135","A1431","苹果                                          "
"01314100","MC00046","C10135","A1431","苹果                                          "
"86713102","M179707","C10783","EBEN M2","E人E本                                      "
"86833201","M104446","C10231","LENOVO A278T","联想                                   "
"35795905","M106167","C10385","SM-G3502","三星                                       "
"35819505","M106171","C10385","SM-G3508","三星                                       "
"86868600","M106511","C10322","T-SMART D18","天迈                                    "
"86706401","M100019","C10035","2012061","小米                                        "
"86347202","M100024","C10035","2013021","小米                                        "
"86542402","M100028","C10035","2013029","小米                                        "
"86031102","M100030","C10035","2013061","小米                                        "
"86590302","M100032","C10035","2013063","小米                                        "
"86632802","M100056","C10035","2014813","小米                                        "
"86679602","M108894","C10129","VIVO Y23L","维沃                                      "
"86059800","M101791","C10633","E30","万事通                                          "
"86057502","M104541","C10231","LENOVO A750E","联想                                   "
"86526602","M104547","C10231","LENOVO A768T","联想                                   "
"86391202","M106672","C10426","T780","聆韵                                           "
"86417802","M104622","C10231","LENOVO S810T","联想                                   "
"35694005","M102578","C10385","GT-S7562I","三星                                      "
"35296606","M106180","C10385","SM-G3568V","三星                                      "
"35595806","M106184","C10385","SM-G3606","三星                                       "
"86202902","M102703","C10305","GIONEE X805","金立                                    "
"86978200","M101090","C10149","CHANGHONG A9","长虹                                   "
"35810906","M106215","C10385","SM-G9209","三星                                       "
"35712805","M106225","C10385","SM-N9009","三星                                       "
"35584806","M106227","C10385","SM-N9100","三星                                       "
"35521906","M106246","C10385","SM-W2015","三星                                       "
"35405402","M103399","C10150","HUAWEI Y600-U00","华为                                "
"86460102","M105562","C10150","PE-TL10","华为                                        "
"86760102","M105562","C10150","PE-TL10","华为                                        "
"86976800","M100524","C10558","BF609","贝尔丰                                        "
